ID,y
5,110.96123
8,91.7384
10,110.937355
11,95.032974
12,116.16939
14,94.63305
15,115.69001
16,104.38794
17,101.03683
19,94.78625
20,103.85103
21,104.184555
22,115.43202
23,101.03683
26,95.562225
28,94.48709
29,101.03683
33,101.03683
35,94.765274
41,98.59353
42,94.815285
43,116.818146
45,103.31624
46,103.60459
51,94.76865
53,87.333664
55,113.27832
56,94.230064
57,103.39382
58,94.233
59,103.88209
63,112.09115
64,94.90335
65,103.85103
69,94.597946
71,94.68486
72,104.42222
73,95.05069
76,103.97246
77,105.08793
78,115.84604
82,95.0731
83,103.85103
84,94.787766
85,103.220116
87,112.07348
88,98.59353
89,113.1918
91,94.67379
93,94.70472
94,105.34413
95,95.0511
96,111.81296
97,93.493126
98,112.1941
99,93.88901
101,105.37267
103,113.1918
104,93.74852
105,111.63338
110,94.506775
111,111.94573
113,112.62035
114,94.64506
115,112.36102
117,113.1918
120,93.58331
121,112.51274
122,93.10718
123,113.04908
126,112.63948
132,113.55458
135,103.937035
137,104.59117
138,94.51845
140,94.1438
142,112.41207
144,112.65862
148,93.11168
149,112.65821
155,94.366745
156,112.309746
157,93.493126
162,112.70528
167,94.38492
172,116.818146
179,112.79733
180,93.40901
181,111.65368
182,95.39667
183,113.1918
185,113.1918
187,112.12914
188,95.038284
189,94.83335
191,93.60976
192,113.28129
193,94.99304
194,112.550125
195,93.74542
196,112.9829
198,94.22492
199,112.63762
201,103.68147
204,94.218864
205,104.74215
206,94.28112
210,94.56271
211,105.37267
216,112.26476
219,116.45916
220,93.727806
221,111.56592
226,111.65368
227,93.99455
228,112.19997
230,112.25756
231,93.493126
235,115.721794
236,94.84088
238,112.36845
242,103.37996
243,94.395935
244,78.256996
245,111.254036
247,112.94972
248,93.14089
249,95.03592
250,111.9232
251,94.84088
253,115.721794
254,93.905846
256,95.08096
257,93.239235
258,112.98292
259,94.0562
262,79.19121
266,93.9401
267,112.02591
272,103.32167
273,113.1918
275,93.95917
276,113.8241
279,95.22626
280,103.85103
283,93.662056
285,111.6347
288,113.1918
290,104.171585
291,94.59681
292,111.333305
293,111.61658
296,93.107285
297,112.345825
298,115.69217
299,95.0731
304,93.32076
305,88.344376
306,94.00785
307,111.764565
311,110.34584
313,111.68364
314,93.76746
316,95.0864
324,94.46039
327,94.732315
329,93.60475
330,112.63105
337,104.575645
338,94.67564
339,105.449715
340,94.72956
343,93.87532
345,115.69001
346,94.74869
347,111.943665
349,112.9401
350,94.6026
352,112.70929
353,93.749756
354,78.29369
357,94.38655
358,112.61532
362,111.778275
364,119.022316
365,103.9567
366,92.87433
367,112.63273
368,94.79075
370,77.961334
373,94.2587
377,92.97303
378,111.23358
382,103.97246
384,112.19997
390,94.58146
392,112.62387
395,95.01039
396,104.73296
399,79.781
406,111.68364
408,111.68364
409,93.656204
410,78.86105
412,113.29936
413,93.09897
419,95.09226
420,112.63174
421,92.98162
430,102.46029
434,94.669174
436,94.853806
437,94.27172
438,93.87532
439,112.65862
440,94.165306
443,112.915306
446,94.218864
448,94.50802
452,94.72091
453,103.57838
457,103.53464
458,94.638245
459,114.90762
460,103.32464
462,104.21339
464,103.704544
465,116.16939
467,117.7285
471,113.52474
472,78.04829
473,96.2798
475,94.45553
480,94.6254
488,112.19328
490,111.764565
491,103.97223
492,78.89586
493,95.19131
497,94.2017
498,112.247
499,94.69014
500,103.60459
501,94.67306
502,112.32026
506,85.71343
510,111.80695
511,93.72277
512,93.52383
516,94.97174
518,92.997246
519,111.5499
521,94.277664
522,112.62642
526,112.6125
529,94.41632
532,112.144226
533,94.239746
536,112.65696
537,101.73777
539,95.205696
540,104.7731
541,94.518875
543,94.868164
546,112.60242
547,94.24815
548,78.91041
551,94.44515
552,103.45579
556,103.48217
557,94.7926
558,112.63273
559,94.55131
560,104.76258
562,104.87805
566,94.22103
570,112.247
571,94.27172
572,103.85103
573,95.038284
575,116.16939
576,111.54215
577,94.89417
579,92.47896
580,111.90055
581,113.29962
589,111.764565
591,102.97179
593,94.77985
594,103.66136
595,94.84836
598,93.95504
602,112.137054
604,112.53786
606,111.23757
608,92.87433
609,105.37267
610,94.4983
616,111.4618
617,95.50954
618,102.81272
620,104.374435
622,112.41629
623,93.152985
626,112.09204
628,112.23961
629,95.112495
630,112.25756
637,94.64267
638,104.22093
643,97.23997
645,94.6254
646,117.72565
648,96.362
652,94.18176
653,94.160835
654,112.247
656,112.9721
657,95.11729
659,94.41161
660,104.1451
663,93.235374
664,113.09367
666,103.11628
668,111.92764
669,93.949356
671,95.31353
675,94.49236
677,94.67369
678,110.924995
679,104.20799
682,94.78926
685,103.40244
687,94.49225
688,93.767456
693,112.000336
696,94.08847
698,94.212105
701,96.95898
704,103.59829
705,116.033485
709,112.706894
710,94.38755
711,103.44023
712,94.219025
714,111.590485
715,93.3234
716,111.764565
717,93.6476
720,115.69001
721,93.60976
724,102.71376
725,94.025856
726,112.492096
728,111.21546
731,93.72624
734,104.200325
738,93.47804
745,111.74904
746,93.11216
751,79.05134
754,93.18516
756,93.3592
758,94.041534
759,112.856895
761,114.683395
766,95.35142
767,112.741005
768,93.152985
769,112.43554
770,94.85193
771,78.89586
772,103.884026
773,94.41519
774,112.20773
776,112.19997
777,94.96105
780,116.52837
782,104.7731
787,103.07068
788,95.205696
792,92.89872
793,112.960945
798,95.95814
800,93.89649
806,111.764565
809,112.29327
811,113.82511
812,93.69348
814,116.16939
816,103.24952
817,94.55131
818,109.4153
820,111.95929
823,94.638245
829,92.43969
830,113.371506
831,92.80603
834,111.84887
839,95.019775
841,79.72924
844,104.590904
845,94.763794
848,93.32076
850,103.75094
851,103.706345
852,94.709404
854,93.72861
855,95.138565
856,102.95772
859,103.64093
861,112.20773
864,94.81694
865,112.17292
866,93.494865
867,93.32241
869,94.26681
871,94.078415
872,111.764565
882,102.99603
883,94.669174
885,94.50537
888,94.741875
893,111.605
901,110.89018
903,103.97223
904,95.33659
905,103.45554
910,94.67239
911,112.180565
914,111.946106
918,111.80091
921,92.805435
928,94.898544
929,103.49149
932,93.499504
933,105.85949
934,94.67239
935,112.25084
937,79.68656
939,95.0731
940,103.121086
941,95.22612
942,103.72434
943,94.412346
944,103.28858
947,111.764565
949,112.57967
951,111.06419
952,95.43461
953,103.97223
954,78.29732
957,112.22359
959,92.94933
960,114.76413
963,116.16939
965,111.764565
967,103.566605
971,96.10038
972,78.40031
973,94.20958
974,112.31085
975,96.41569
978,118.87779
980,113.43961
981,94.48643
984,112.09169
986,94.67239
988,93.152985
989,112.65308
990,103.70192
992,110.89018
996,94.1438
999,112.81416
1000,94.31709
1001,112.17292
1002,93.152985
1003,112.19997
1004,92.9251
1008,111.85529
1009,94.43678
1010,104.86496
1012,118.13498
1013,94.158875
1014,112.67796
1015,94.11965
1016,116.033485
1019,93.57772
1020,112.505035
1021,94.67239
1022,103.28501
1024,94.67239
1025,78.80222
1027,93.64327
1028,103.68236
1029,94.34515
1030,93.814156
1033,112.67621
1036,94.6729
1037,111.7073
1038,93.69406
1042,95.0731
1043,103.68246
1044,94.72728
1045,112.17836
1047,115.13384
1050,94.86331
1051,111.71589
1054,94.638245
1056,94.48643
1057,94.66432
1059,95.30964
1062,103.10972
1063,103.52816
1064,94.48643
1066,94.04252
1070,103.899704
1076,112.19936
1077,102.35379
1078,112.34538
1080,111.81373
1082,113.804085
1083,94.732315
1089,113.37725
1091,94.84618
1093,94.99238
1097,95.599815
1099,94.57666
1101,94.729225
1103,97.52096
1104,112.62156
1106,112.87458
1109,93.85802
1110,112.45681
1111,94.151344
1112,114.15339
1114,95.290054
1116,93.90475
1117,113.82453
1120,93.36651
1124,112.16029
1125,94.42965
1126,112.41565
1134,111.83602
1137,94.82091
1138,112.576935
1144,111.693474
1145,95.36977
1146,93.824295
1148,97.315384
1150,93.28024
1152,104.647736
1153,94.44779
1154,104.99893
1155,94.99123
1157,94.05555
1162,95.54703
1165,112.645775
1166,95.864
1167,103.42409
1168,94.84942
1169,103.69776
1171,115.48885
1172,94.96199
1173,103.69776
1174,94.81428
1176,95.22523
1177,103.72723
1178,94.38697
1182,112.18964
1186,94.68223
1187,113.573166
1188,96.258026
1189,116.481316
1191,104.96592
1192,95.54703
1197,111.912025
1198,93.61282
1200,79.02174
1201,94.97749
1203,95.977104
1209,116.22622
1214,103.27329
1218,111.63778
1222,93.87196
1226,95.09911
1228,95.89013
1230,93.716774
1232,79.079834
1233,102.299286
1236,115.195526
1238,94.36636
1241,111.693474
1244,105.1367
1246,94.617966
1247,113.006226
1250,112.62518
1251,95.21938
1254,112.53418
1255,94.54907
1256,110.77627
1257,93.844536
1258,94.89424
1259,111.860664
1260,94.60448
1263,111.693474
1267,79.48216
1268,111.36035
1271,95.512215
1272,111.661835
1274,104.5628
1275,95.54703
1276,111.77272
1277,93.74423
1279,93.824295
1281,94.87216
1282,96.258026
1283,112.80613
1285,112.52036
1286,94.82091
1289,111.9805
1296,112.451546
1299,93.28024
1301,94.24811
1306,92.95202
1307,94.66306
1308,93.72585
1313,111.77272
1314,95.243744
1315,112.45681
1316,93.77632
1317,111.691795
1319,93.42385
1323,94.37422
1324,104.42396
1325,95.789
1328,102.89451
1329,94.99671
1330,112.264565
1331,94.21857
1332,104.16551
1337,94.9551
1338,111.4765
1339,95.54725
1340,113.14084
1343,112.62521
1347,104.20895
1348,94.71269
1349,104.99946
1352,93.76852
1354,95.02016
1359,113.023674
1360,94.550865
